dataset,p,max_iterations,alpha,tabu_tenure,best_solution,selected_hub_capacities,best_cost,avg_cost,std_cost,avg_time,avg_total_iterations,total_iterations_for_best_cost
CAB25,5,800,0.3,10,"[4, 17, 17, 4, 4, 4, 7, 7, 4, 7, 4, 12, 4, 14, 4, 7, 17, 17, 12, 17, 4, 12, 12, 14, 17]",4(L2); 17(L2); 7(L1); 12(L1); 14(L1),5672470312.9379,5932435670.74326,223911357.23362997,1.5203069686889648,100.8,96
CAB25,5,800,0.3,11,"[4, 17, 17, 4, 4, 4, 7, 7, 4, 7, 4, 12, 4, 14, 4, 7, 17, 17, 12, 17, 4, 12, 12, 14, 17]",4(L2); 17(L2); 7(L1); 12(L1); 14(L1),5672470312.9379,6170934187.235292,449633969.42205757,1.5152979373931885,99.6,105
TR40,4,1000,0.3,7,"[1, 35, 3, 24, 35, 24, 35, 24, 24, 3, 24, 35, 3, 1, 35, 35, 3, 1, 24, 3, 3, 3, 3, 24, 35, 35, 3, 35, 24, 35, 1, 3, 3, 1, 35, 3, 35, 3, 3, 1]",1(L2); 35(L1); 3(L2); 24(L2),9246245206.481253,9831731782.68104,298593282.89007604,2.6861408233642576,113.2,125
TR40,4,1000,0.3,8,"[1, 35, 3, 24, 35, 24, 35, 24, 24, 3, 24, 35, 3, 1, 35, 35, 3, 1, 24, 3, 3, 3, 3, 24, 35, 35, 3, 35, 24, 35, 1, 3, 3, 1, 35, 3, 35, 3, 3, 1]",1(L2); 35(L1); 3(L2); 24(L2),9246245206.481253,9533148994.879078,316723161.4652902,2.7728368759155275,118.8,131
TR40,4,1000,0.3,9,"[1, 31, 3, 24, 31, 24, 31, 24, 24, 3, 24, 31, 3, 1, 3, 31, 3, 1, 24, 3, 3, 3, 3, 24, 31, 31, 3, 31, 24, 31, 31, 3, 3, 1, 31, 3, 31, 3, 3, 1]",1(L1); 31(L1); 3(L2); 24(L2),9261546917.297054,9953623349.408756,570921875.2186359,2.796421241760254,116.8,113
TR40,4,1000,0.3,10,"[1, 35, 3, 24, 35, 24, 35, 24, 24, 3, 24, 35, 3, 1, 35, 35, 3, 1, 24, 3, 3, 3, 3, 24, 35, 35, 3, 35, 24, 35, 1, 3, 3, 1, 35, 3, 35, 3, 3, 1]",1(L2); 35(L1); 3(L2); 24(L2),9246245206.481253,9720063299.899683,670440399.7397739,2.697917938232422,116.0,128
TR40,6,1000,0.3,10,"[1, 35, 3, 22, 35, 19, 35, 22, 29, 3, 29, 35, 3, 1, 35, 35, 22, 1, 19, 22, 3, 22, 3, 19, 35, 35, 3, 35, 29, 35, 1, 3, 22, 22, 35, 3, 35, 3, 3, 1]",1(L2); 35(L1); 3(L2); 22(L1); 19(L1); 29(L1),7860617216.818557,8278761401.153119,340203169.36718786,4.278713989257812,120.0,117
TR40,6,1000,0.3,11,"[1, 35, 3, 4, 35, 19, 35, 4, 19, 3, 19, 35, 3, 14, 35, 35, 4, 1, 19, 3, 3, 3, 3, 19, 35, 35, 3, 35, 3, 35, 14, 3, 3, 1, 35, 3, 35, 3, 3, 1]",1(L1); 35(L1); 3(L2); 4(L1); 19(L1); 14(L1),7908135840.710569,8419266434.089322,301333960.90951556,4.236416578292847,116.6,115
TR40,6,1000,0.3,12,"[1, 26, 3, 22, 26, 19, 26, 22, 19, 3, 19, 26, 3, 31, 26, 26, 22, 1, 19, 22, 3, 22, 3, 19, 31, 26, 3, 26, 3, 26, 31, 3, 22, 22, 31, 3, 26, 3, 3, 1]",1(L1); 26(L1); 3(L2); 22(L1); 19(L1); 31(L1),7762686224.664932,8319410465.695917,340928225.579557,4.2333661079406735,118.8,125
TR55,5,1000,0.3,11,"[1, 15, 15, 4, 33, 15, 33, 26, 15, 15, 4, 26, 26, 4, 15, 26, 15, 4, 1, 4, 15, 15, 1, 4, 1, 26, 33, 4, 4, 26, 4, 4, 33, 1, 15, 15, 4, 15, 4, 26, 15, 15, 4, 4, 4, 15, 1, 15, 4, 15, 15, 26, 4, 1, 1]",1(L1); 15(L1); 4(L2); 33(L1); 26(L2),20553945536.1,22790931308.000004,1177794477.4617646,5.276493883132934,118.6,118
TR55,5,1000,0.3,12,"[1, 15, 15, 4, 4, 37, 30, 30, 15, 15, 4, 30, 30, 37, 15, 30, 15, 4, 1, 37, 37, 15, 1, 4, 1, 30, 30, 4, 4, 30, 4, 30, 30, 1, 15, 15, 37, 15, 37, 30, 15, 15, 4, 30, 4, 37, 1, 15, 4, 15, 15, 30, 4, 1, 1]",1(L1); 15(L1); 4(L2); 37(L1); 30(L2),22637993056.300003,22720626523.320004,110447246.29641594,5.336902046203614,124.6,125
TR55,5,1000,0.3,13,"[1, 15, 15, 4, 33, 15, 33, 26, 15, 15, 4, 26, 26, 4, 15, 26, 15, 4, 1, 4, 15, 15, 1, 4, 1, 26, 33, 4, 4, 26, 4, 4, 33, 1, 15, 15, 4, 15, 4, 26, 15, 15, 4, 4, 4, 15, 1, 15, 4, 15, 15, 26, 4, 1, 1]",1(L1); 15(L1); 4(L2); 33(L1); 26(L2),20553945536.1,21685864705.219997,1186270332.6458213,5.573097276687622,131.2,126
TR55,7,1000,0.3,12,"[19, 19, 19, 4, 31, 19, 12, 12, 19, 19, 31, 12, 13, 4, 19, 26, 19, 12, 19, 4, 4, 19, 19, 31, 19, 26, 27, 31, 4, 12, 31, 12, 27, 19, 19, 19, 4, 19, 4, 26, 19, 19, 4, 4, 31, 4, 31, 19, 4, 19, 19, 12, 4, 19, 19]",19(L2); 4(L1); 31(L1); 12(L1); 13(L1); 26(L1); 27(L1),20403770943.8,21641088331.48,1561492262.114996,7.0948529720306395,122.8,117
TR55,7,1000,0.3,13,"[1, 15, 15, 4, 33, 37, 33, 26, 15, 15, 4, 26, 26, 43, 15, 26, 15, 4, 1, 37, 37, 15, 1, 4, 1, 26, 33, 43, 43, 26, 4, 4, 33, 1, 15, 15, 37, 15, 37, 26, 15, 15, 43, 4, 4, 37, 1, 15, 4, 15, 15, 26, 4, 1, 1]",1(L1); 15(L1); 4(L1); 33(L1); 37(L1); 26(L2); 43(L1),18984732951.199997,20983039733.44,1747467941.4352808,6.909042453765869,119.4,122
TR55,7,1000,0.3,14,"[1, 19, 15, 4, 33, 15, 33, 26, 15, 15, 4, 26, 26, 14, 15, 26, 15, 4, 19, 14, 14, 15, 1, 4, 1, 26, 33, 14, 4, 26, 4, 4, 33, 19, 15, 15, 14, 15, 14, 26, 15, 19, 14, 4, 4, 14, 1, 15, 4, 15, 15, 26, 4, 19, 1]",1(L1); 19(L1); 15(L1); 4(L1); 33(L1); 26(L2); 14(L1),18848086207.699997,20060094413.06,900061143.4739959,7.360943126678467,129.6,132
TR55,7,1000,0.3,15,"[1, 15, 15, 4, 5, 15, 12, 12, 15, 15, 5, 12, 12, 4, 15, 26, 15, 12, 1, 4, 15, 15, 1, 5, 1, 26, 27, 4, 4, 12, 4, 12, 27, 1, 15, 15, 4, 15, 4, 26, 15, 15, 4, 4, 4, 15, 1, 15, 4, 15, 15, 12, 4, 1, 1]",1(L1); 15(L1); 4(L2); 5(L1); 12(L1); 26(L1); 27(L1),17949062697.0,19797841351.120003,960841406.784054,7.640393161773682,127.4,116
