dataset,p,alpha,max_iterations,levels,initial_temp,beta,sl,stage_length,p0,n_samples,best_solution,selected_hub_capacities,best_cost,avg_cost,std_cost,avg_time,avg_total_iterations,total_iterations_for_best_cost
TR40,4,0.3,4000,10,,0.995,10,400,0.8,50,"[14, 14, 3, 22, 14, 19, 14, 22, 19, 3, 19, 14, 3, 14, 3, 14, 22, 14, 19, 22, 3, 22, 3, 19, 14, 14, 3, 14, 3, 14, 14, 3, 22, 22, 14, 3, 14, 3, 3, 14]",14(L2); 3(L2); 22(L1); 19(L1),9335240827.645716,9676184201.930744,281376420.7438728,0.6464562892913819,4000.0,4000
TR40,6,0.3,4000,10,,0.98,10,400,0.8,50,"[1, 26, 3, 22, 26, 19, 26, 22, 19, 3, 19, 26, 3, 31, 26, 26, 22, 1, 19, 22, 3, 22, 3, 19, 31, 26, 3, 26, 3, 26, 31, 3, 22, 22, 31, 3, 26, 3, 3, 1]",1(L1); 26(L1); 3(L2); 22(L1); 19(L1); 31(L1),7762686224.664932,7941832985.724745,330777347.5083103,0.6799866676330566,4000.0,4000
TR40,6,0.3,4000,10,,0.99,10,400,0.8,50,"[1, 35, 3, 4, 35, 19, 35, 4, 19, 3, 19, 35, 3, 1, 35, 35, 4, 1, 19, 22, 3, 22, 3, 19, 35, 35, 3, 35, 3, 35, 1, 3, 22, 22, 35, 3, 35, 3, 3, 1]",1(L2); 35(L1); 3(L2); 4(L1); 19(L1); 22(L1),7787562949.460453,8022338658.313599,287829594.46392626,0.6838284969329834,4000.0,4000
TR40,6,0.3,4000,10,,0.995,10,400,0.8,50,"[1, 26, 3, 22, 26, 19, 26, 22, 19, 3, 19, 26, 3, 31, 26, 26, 22, 1, 19, 22, 3, 22, 3, 19, 31, 26, 3, 26, 3, 26, 31, 3, 22, 22, 31, 3, 26, 3, 3, 1]",1(L1); 26(L1); 3(L2); 22(L1); 19(L1); 31(L1),7762686224.664932,8010480797.160063,258441648.9961448,0.7196857929229736,4000.0,4000
TR40,6,0.3,4000,10,,0.999,10,400,0.8,50,"[1, 31, 3, 22, 27, 24, 31, 24, 3, 3, 3, 1, 3, 1, 27, 31, 3, 1, 24, 3, 3, 22, 3, 24, 31, 31, 27, 31, 24, 1, 31, 3, 22, 3, 31, 3, 22, 3, 27, 1]",1(L1); 31(L1); 3(L2); 22(L1); 27(L1); 24(L1),8355120216.256742,9013703866.268942,562081630.5162659,0.7034417629241944,4000.0,4000
TR55,5,0.3,5500,10,,0.97,10,550,0.8,50,"[1, 15, 15, 4, 33, 15, 33, 26, 15, 15, 4, 26, 26, 4, 15, 26, 15, 4, 1, 4, 15, 15, 1, 4, 1, 26, 33, 4, 4, 26, 4, 4, 33, 1, 15, 15, 4, 15, 4, 26, 15, 15, 4, 4, 4, 15, 1, 15, 4, 15, 15, 26, 4, 1, 1]",1(L1); 15(L1); 4(L2); 33(L1); 26(L2),20553945536.1,21576897511.299995,829694956.6772455,0.9665843486785889,5500.0,5500
TR55,5,0.3,5500,10,,0.98,10,550,0.8,50,"[1, 15, 15, 4, 33, 15, 33, 26, 15, 15, 4, 26, 26, 4, 15, 26, 15, 4, 1, 4, 15, 15, 1, 4, 1, 26, 33, 4, 4, 26, 4, 4, 33, 1, 15, 15, 4, 15, 4, 26, 15, 15, 4, 4, 4, 15, 1, 15, 4, 15, 15, 26, 4, 1, 1]",1(L1); 15(L1); 4(L2); 33(L1); 26(L2),20553945536.1,22307568927.060005,1067817260.3396736,0.9764838695526123,5500.0,5500
TR55,5,0.3,5500,10,,0.99,10,550,0.8,50,"[1, 15, 15, 4, 33, 15, 33, 26, 15, 15, 4, 26, 26, 4, 15, 26, 15, 4, 1, 4, 15, 15, 1, 4, 1, 26, 33, 4, 4, 26, 4, 4, 33, 1, 15, 15, 4, 15, 4, 26, 15, 15, 4, 4, 4, 15, 1, 15, 4, 15, 15, 26, 4, 1, 1]",1(L1); 15(L1); 4(L2); 33(L1); 26(L2),20553945536.1,21905881920.46,916745197.4101187,0.9769030094146729,5500.0,5500
TR55,5,0.3,5500,10,,0.995,10,550,0.8,50,"[1, 15, 15, 4, 33, 15, 33, 26, 15, 15, 4, 26, 26, 4, 15, 26, 15, 4, 1, 4, 15, 15, 1, 4, 1, 26, 33, 4, 4, 26, 4, 4, 33, 1, 15, 15, 4, 15, 4, 26, 15, 15, 4, 4, 4, 15, 1, 15, 4, 15, 15, 26, 4, 1, 1]",1(L1); 15(L1); 4(L2); 33(L1); 26(L2),20553945536.1,21531177161.260002,729865294.4364076,0.9864921569824219,5500.0,5500
TR55,7,0.3,5500,10,,0.98,10,550,0.8,50,"[1, 15, 15, 4, 32, 37, 33, 32, 15, 15, 32, 32, 26, 4, 15, 26, 15, 32, 1, 37, 37, 15, 1, 32, 1, 26, 33, 4, 4, 26, 4, 32, 33, 1, 15, 15, 37, 15, 37, 26, 15, 15, 4, 4, 4, 37, 1, 15, 4, 15, 15, 26, 4, 1, 1]",1(L1); 15(L1); 4(L1); 32(L1); 37(L1); 33(L1); 26(L2),18241673738.2,19221614851.14,1027498844.4758867,0.9833751201629639,5500.0,5500
TR55,7,0.3,5500,10,,0.99,10,550,0.8,50,"[1, 19, 15, 4, 31, 15, 33, 26, 15, 15, 31, 26, 26, 4, 15, 26, 15, 4, 19, 4, 15, 15, 1, 31, 1, 26, 33, 31, 4, 26, 31, 4, 33, 19, 15, 15, 4, 15, 4, 26, 15, 19, 4, 4, 31, 15, 31, 15, 4, 15, 15, 26, 4, 19, 1]",1(L1); 19(L1); 15(L1); 4(L1); 31(L1); 33(L1); 26(L2),18333750123.8,19308673960.920002,989956986.8476455,0.981001901626587,5500.0,5500
TR55,7,0.3,5500,10,,0.995,10,550,0.8,50,"[1, 15, 15, 4, 31, 15, 12, 12, 15, 15, 31, 12, 12, 4, 15, 26, 15, 12, 1, 4, 15, 15, 1, 31, 1, 26, 27, 31, 4, 12, 31, 12, 27, 1, 15, 15, 4, 15, 4, 26, 15, 15, 4, 4, 31, 15, 31, 15, 4, 15, 15, 12, 4, 1, 1]",1(L1); 15(L1); 4(L1); 31(L1); 12(L1); 26(L1); 27(L1),17870765298.100002,18801239349.52,1099003914.499455,1.005747127532959,5500.0,5500
TR55,7,0.3,5500,10,,0.999,10,550,0.8,50,"[1, 15, 15, 4, 31, 15, 12, 4, 15, 15, 12, 12, 26, 4, 15, 26, 15, 12, 1, 4, 4, 15, 1, 31, 1, 26, 27, 4, 31, 26, 31, 12, 27, 1, 15, 15, 4, 15, 4, 26, 15, 15, 4, 4, 31, 15, 31, 15, 26, 15, 15, 12, 26, 31, 1]",1(L1); 15(L1); 4(L1); 31(L1); 12(L1); 26(L2); 27(L1),18317455526.1,19265374869.28,622199612.0471236,0.9838223457336426,5500.0,5500
RGP100,9,0.3,10000,10,,0.99,10,1000,0.8,50,"[35, 7, 9, 4, 68, 52, 7, 37, 9, 35, 4, 4, 35, 9, 55, 35, 52, 4, 9, 4, 37, 4, 68, 4, 7, 9, 37, 52, 4, 95, 35, 95, 55, 68, 35, 4, 37, 68, 55, 55, 35, 4, 9, 4, 4, 4, 4, 7, 9, 52, 68, 52, 68, 55, 55, 4, 68, 4, 4, 52, 55, 7, 68, 9, 55, 7, 35, 68, 52, 9, 68, 52, 7, 35, 35, 7, 4, 4, 55, 37, 35, 35, 52, 4, 95, 52, 7, 68, 55, 68, 4, 95, 4, 52, 95, 55, 4, 7, 7, 9]",35(L1); 7(L1); 9(L1); 4(L2); 68(L1); 52(L1); 37(L1); 55(L1); 95(L1),125136631156.76443,126301482477.07512,747942604.5896184,2.391144037246704,10000.0,10000
RGP100,9,0.3,10000,10,,0.995,10,1000,0.8,50,"[1, 48, 3, 88, 74, 3, 73, 3, 3, 1, 53, 23, 1, 88, 3, 23, 21, 1, 3, 53, 21, 88, 23, 21, 48, 3, 88, 1, 88, 1, 88, 74, 21, 74, 1, 3, 21, 74, 1, 1, 1, 73, 3, 88, 53, 21, 23, 48, 73, 23, 88, 3, 53, 23, 21, 3, 88, 1, 3, 1, 3, 74, 53, 53, 88, 1, 21, 88, 1, 88, 74, 53, 73, 74, 48, 1, 48, 53, 88, 1, 74, 73, 88, 21, 21, 1, 53, 88, 48, 23, 1, 1, 88, 74, 88, 74, 53, 48, 74, 53]",1(L1); 48(L1); 3(L1); 88(L1); 74(L1); 73(L1); 53(L1); 23(L1); 21(L1),124937843030.61464,126039298604.58113,592402016.3990293,2.4121172428131104,10000.0,10000
RGP100,9,0.3,10000,10,,0.999,10,1000,0.8,50,"[1, 7, 19, 4, 5, 5, 7, 26, 19, 39, 4, 4, 91, 1, 39, 5, 26, 39, 19, 4, 39, 4, 1, 26, 7, 26, 5, 1, 4, 91, 39, 5, 7, 73, 1, 4, 73, 4, 39, 1, 5, 73, 5, 4, 26, 4, 5, 7, 73, 4, 5, 4, 91, 91, 4, 4, 26, 1, 39, 1, 26, 39, 26, 5, 19, 39, 19, 5, 39, 91, 1, 4, 73, 5, 19, 7, 4, 39, 19, 26, 5, 73, 73, 5, 5, 39, 5, 4, 5, 91, 91, 4, 39, 91, 39, 39, 4, 7, 7, 19]",1(L1); 7(L1); 19(L1); 4(L1); 5(L1); 26(L1); 39(L1); 91(L1); 73(L1),125024892143.72844,125635760050.2106,562228377.4777626,2.3967839241027833,10000.0,10000
